dimension,old_google_model,transition_model,today_model,roofing_action
Primary question,Which page can rank for this keyword and which listing can appear nearby?,"Which page is useful, original, local, and supported by reliable signals?","Which entity and page can be retrieved, trusted, summarized, cited, and acted on?","Build pages around homeowner decisions, not just keyword strings."
Best/top query language,Best and top phrases were often treated as exact-match page targets.,Semantic systems made these phrases comparison intent rather than only literal page-title targets.,"Best/top queries should route into proof-led evaluation content, review evidence, local trust modules, and transparent criteria.","Keep best and top in the study as homeowner language, but frame them as query evidence that must be backed by proof."
Keyword targeting,Exact-match titles and many keyword/city variants.,"Semantic grouping, intent matching, and stronger content quality.","Query clusters connected to trust evidence, service intent, local proof, and structured facts.",Use one hub for best/top/trusted and add unique city trust modules where proof exists.
Content quality,Enough text to index and rank.,"Original, useful, people-first content becomes central.","Content should contain substantial original analysis, clear sourcing, proof, and expert context.","Show inspection workflow, repair/replacement logic, storm documentation standards, photos, and actual review themes."
Links and citations,More links and citations were often treated as the main authority signal.,Spam-resistant link quality and brand/entity corroboration matter more.,"Legitimate citations, profiles, press, datasets, DOI records, and source trails support entity confidence.","Use GitHub, Hugging Face, Zenodo, press, profiles, and website pages as a coherent source spine."
Local SEO,"Map pack visibility, citations, address/phone consistency, and proximity.","Google Business Profile completeness, reviews, photos, replies, and prominence.","Local identity must agree across GBP, website, reviews, service areas, schema, city pages, and source material.",Repair redirecting city pages and make GBP/profile facts match the dataset and website.
Structured data,Optional enhancement for rich results.,"Useful clarity layer for entity, service, FAQ, review, and dataset relationships.","A machine-readable entity graph helps reduce ambiguity across pages, profiles, data, and whitepaper assets.","Use RoofingContractor, Service, Dataset, CreativeWork, FAQPage where visible and true."
AI answer visibility,Not a separate layer.,Featured snippets and passage understanding increased the value of direct answers.,"AI features use Search-rooted retrieval, RAG, and query fan-out to synthesize answers from sources.","Publish answer-ready evidence that can be quoted, summarized, and verified without exaggeration."
Risk,Doorway pages and keyword stuffing could appear tempting.,Panda/Penguin/helpful-content systems raised the cost of thin or manipulative tactics.,Scaled content made to manipulate rankings or generative AI responses is explicitly risky.,"Do not mass-produce 36 best-roofer pages. Use the dataset as a research map, not a doorway generator."
10 blue links and direct answers,"Users commonly evaluated a list of organic links, local results, ads, and snippets.","SERPs added richer features, vertical results, featured snippets, and direct-answer surfaces.","AI Overviews, AI Mode, intelligent search boxes, and agentic search can answer or mediate more of the task before a click.",Make city/service pages answer-ready and source-linked so the business can be understood even when fewer users click through first.
Public association,Association came from ranking pages for a city keyword.,"Association expanded through profiles, citations, press, reviews, and structured pages.","Association can be built through a citable source trail: website pages, GitHub, Hugging Face, Zenodo, press references, and city-specific proof.",Publish the 36-city map as transparent research and link it to the AI visibility press study and GitHub repository.
