source_key,publisher,title,url_or_reference,relevance,accessed_date
google_ranking_systems_guide,Google Search Central,A guide to Google Search ranking systems,https://developers.google.com/search/docs/appearance/ranking-systems-guide,"Primary Google source for automated ranking systems, PageRank, BERT, neural matching, Hummingbird, Panda, Penguin, spam systems, and helpful content as part of core ranking.",2026-06-19
google_ai_optimization_guide,Google Search Central,Optimizing your website for generative AI features on Google Search,https://developers.google.com/search/docs/fundamentals/ai-optimization-guide,"Primary Google source for AI Overviews, AI Mode, RAG, query fan-out, continued SEO relevance, crawlability, and avoiding pages for every query variation.",2026-06-19
google_ai_features,Google Search Central,AI features and your website,https://developers.google.com/search/docs/appearance/ai-features,"Primary Google source for how AI features use links, core Search ranking and quality systems, snippet eligibility, and Search Console reporting.",2026-06-19
google_search_essentials,Google Search Central,Google Search Essentials,https://developers.google.com/search/docs/essentials,"Primary Google source for technical requirements, spam policies, and key best practices including using words people would search for prominently on pages.",2026-06-19
google_helpful_content,Google Search Central,"Creating helpful, reliable, people-first content",https://developers.google.com/search/docs/fundamentals/creating-helpful-content,"Primary Google source for useful, reliable, people-first content, original information, original analysis, clear sourcing, and expertise.",2026-06-19
google_spam_policies,Google Search Central,Spam policies for Google web search,https://developers.google.com/search/docs/essentials/spam-policies,"Primary Google source for doorway abuse, scaled content abuse, keyword stuffing, link spam, and attempts to manipulate rankings or generative AI responses.",2026-06-19
google_business_profile_local_ranking,Google Business Profile Help,Tips to improve your local ranking on Google,https://support.google.com/business/answer/7091,"Primary Google source for local relevance, distance, prominence, complete business information, reviews, replies, photos, and videos.",2026-06-19
google_structured_data_intro,Google Search Central,Intro to how structured data markup works,https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data,"Primary Google source for structured data as explicit clues about page meaning, with content that should match visible page content.",2026-06-19
google_local_business_structured_data,Google Search Central,Local Business structured data,https://developers.google.com/search/docs/appearance/structured-data/local-business,"Primary Google source for LocalBusiness structured data, business details, departments, reviews, and rich result validation.",2026-06-19
schema_roofing_contractor,Schema.org,RoofingContractor,https://schema.org/RoofingContractor,Schema.org class for roofing contractor entity markup used in the structured-data layer.,2026-06-19
google_bert_announcement,Google,Understanding searches better than ever before,https://blog.google/products-and-platforms/products/search/search-language-understanding-bert/,"Google's October 25, 2019 announcement explaining BERT's role in language understanding and conversational queries.",2026-06-19
arxiv_serp_feature_evolution_10_blue_links,arXiv / CHIIR 2023,From 10 Blue Links Pages to Feature-Full Search Engine Results Pages -- Analysis of the Temporal Evolution of SERP Features,https://arxiv.org/abs/2301.08042,Research source documenting how SERPs evolved from simple 10-blue-link pages into feature-rich pages with elements that provide direct answers.,2026-06-19
arxiv_panmodal_information_interaction,arXiv,Panmodal Information Interaction,https://arxiv.org/abs/2405.12923,Research source describing how traditional search and AI-powered chat coexist and transform information interaction beyond the standard 10-blue-link format.,2026-06-19
arxiv_google_ai_overviews_measurement_2026,arXiv,"Measuring Google AI Overviews: Activation, Source Quality, Claim Fidelity, and Publisher Impact",https://arxiv.org/abs/2605.14021,"May 2026 measurement study of Google AI Overviews activation, cited sources, claim support, and publisher impact.",2026-06-19
youtube_10_blue_links_breakdown,YouTube commentary source provided by user,The Era of 10 Blue Links Is Over (Google I/O Search + May 2026 Core Update),https://www.youtube.com/watch?v=eD6sNhLHM0I,Secondary commentary source for public framing that Google Search behavior is moving from blue-link clicking toward direct answers and AI-mediated search.,2026-06-19
techradar_google_io_2026_search_box,TechRadar,"Google's Search makeover incorporates yet more AI, but Google promises to leave room for classic results",https://www.techradar.com/ai-platforms-assistants/this-new-search-box-does-not-mean-that-youll-only-get-ai-responses-googles-search-makeover-incorporates-yet-more-ai-but-google-promises-to-leave-room-for-classic-results,"Media report on Google I/O 2026 Search changes, including the intelligent search box and Google's statement that classic results continue to appear.",2026-06-19
wired_google_io_2026_search_agents,WIRED,Everything Announced at Google I/O 2026,https://www.wired.com/story/everything-google-announced-at-google-io-2026/,"Media report on Google I/O 2026, Search agents, intelligent search box, generative UI, and AI-generated search result experiences.",2026-06-19
ein_presswire_ai_visibility_report,EIN Presswire / Inspector Roofing source material,Alpharetta Roofing Founder Turns 'Roofer Near Me' Into a Public AI Visibility Study,03_supporting_source_materials/ein-presswire-distribution-report-text.txt,"Supporting press distribution source for the earlier public AI visibility study; links the roofing search research to press, search engines, news databases, and AI-database distribution language.",2026-06-19
prior_ai_visibility_study_doi,Zenodo,Predecessor Roofing Near Me AI Visibility Study DOI,10.5281/zenodo.20650542,Predecessor DOI-backed AI visibility work that this best/top/trusted Google evolution study derives from and extends.,2026-06-19
github_algorithm_study_repository_pending,GitHub,Inspector Roofing Best Top Trusted Google Study repository,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,"Planned public GitHub source repository for the whitepaper, datasets, citation metadata, and Zenodo release workflow.",2026-06-19
github_citation_docs,GitHub Docs,About CITATION files,https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-citation-files,Explains root CITATION.cff support for repository citation metadata.,2026-06-19
huggingface_dataset_cards,Hugging Face,Dataset Cards,https://huggingface.co/docs/hub/datasets-cards,Explains that dataset repositories render README.md as the dataset card with metadata.,2026-06-19
github_zenodo_doi,GitHub Docs,Referencing and citing content,https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,Explains public GitHub repository archiving with Zenodo and DOI creation through GitHub releases.,2026-06-19
